product_name,product_price,product_rating,product_img_url,product_SKU,old_price
Hp Notebook 15 Intel Core I3 Touchscreen 12GB RAM - 1TB HDD-Windows 10 + HP MOUSE,"₦ 265,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/3067121/1.jpg?5570,HP246CL28K3BSNAFAMZ,"<div class=""old"">₦ 272,000</div>"
Hp Stream 11 Intel Celeron 4GB RAM / 64GB HDD WIN 10+ USD LIGHT,"₦ 103,999",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/952308/1.jpg?5533,HP246CL0N6VSKNAFAMZ,"<div class=""old"">₦ 150,000</div>"
"Hp 15 Intel Core I3 Touch 16GB RAM, 256 SSD-Windows 10+MOUSE","₦ 285,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/801618/1.jpg?6823,HP246CL0BSF0YNAFAMZ,
"Hp 255 G7 AMD RYZEN 3,1TB,8GB RAM,15.6"" Win 10 +free Mouse","₦ 216,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/3749011/1.jpg?6844,HP246CL1Z2M9HNAFAMZ,"<div class=""old"">₦ 250,000</div>"
Hp 15 Inch AMD RYZEN™ 3 - 2.6GHz - 3.5GHz -AMD Radeon Graphics 8GB RAM 1TB HDD Windows 10 +Mouse,"₦ 203,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/0527601/1.jpg?9989,HP246CL2T8TJSNAFAMZ,
"Deep Tissue Percussion Massager - 30-Speed,for","₦ 31,399",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/8101821/1.jpg?5579,GE779EA3AYMIUNAFAMZ,"<div class=""old"">₦ 62,798</div>"
"Hp ENVY 17 Intel Core I7-1.8 Up To 4.0GHz (16GB, 1TB HDD 4gb Nvidia Graphics) 17.3-Inch Windows 10","₦ 960,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/070603/1.jpg?7691,HP246EL1B2R9NNAFAMZ,
"Asus VivoBook Flip X360 14 Touch Screen, Intel Core I3, 4GB RAM, 128GB SSD, Windows 10 Home","₦ 260,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/0119601/1.jpg?7146,AS650CL21U08ONAFAMZ,"<div class=""old"">₦ 265,000</div>"
"Hp ENVY X360 13 INTEL CORE I5-1135G7, 256GB SSD 8GB RAM, WIN 11","₦ 505,200",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/1099221/1.jpg?7830,HP246CL356PR6NAFAMZ,"<div class=""old"">₦ 530,000</div>"
"Hp Pavilion X360 Convertible 14-dy0063nia- 11th Gen Intel Core I3, 4GB RAM, 512GB SSD, FHD- Wins 11","₦ 347,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/865559/1.jpg?0592,HP246CL08UMC7NAFAMZ,
"Hp 15 Intel Core I3 Touch 16GB RAM, 256 SSD-Windows 10+MOUSE","₦ 280,000","<div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/570607/1.jpg?1886,HP246CL0ZGSZ3NAFAMZ,"<div class=""old"">₦ 350,000</div>"
Lenovo Ideapad  Intel Celeron 1TB HDD 4GB RAM Win 10 PRO + 32GB Flash,"₦ 135,999",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/752307/1.jpg?6546,LE842CL02TUWJNAFAMZ,"<div class=""old"">₦ 172,000</div>"
Lenovo AMD 14'' Lenovo 4GB RAM DDR4-1TB HDD WIN 10+USB LIGHT,"₦ 140,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/4923501/1.jpg?2573,LE842CL2ISFUMNAFAMZ,
"Hp 15 Da3011nia Ci3-1005g1 4gb 1tb 15.6"" Win 10 Home 2B4G4EA","₦ 273,900","<div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/101607/1.jpg?6877,HP246CL0TTUNBNAFAMZ,"<div class=""old"">₦ 298,800</div>"
Hp PAVILION LAPTOP 14-11TH GEN INTEL CORE I7-16GB RAM- 512GB SSD WIN 10,"₦ 627,370",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/8587811/1.jpg?8738,HP246CL2G14KDNAFAMZ,
"Lenovo IdeaPad Slim 1 11.6"" HD Laptop (64GB) [Intel Celeron]","₦ 166,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/564087/1.jpg?3341,LE842CL0F7XDJNAFAMZ,"<div class=""old"">₦ 175,000</div>"
Keyboard Cover Silicone Skin Protector For ASUS U80 Laptop Notebook,"₦ 2,989",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/300827/1.jpg?1537,GE779MP0VQF6JNAFAMZ,"<div class=""old"">₦ 3,587</div>"
Hp Stream 14 (Intel Celeron 4GB/32GB EMMC 14 Inches Windows 10,"₦ 130,000","<div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/413214/1.jpg?4039,HP246EL1KT1B2NAFAMZ,
"Hp Pavilion 15 X360 11th Gen Core I3 512GB,8GB Touchscreen Win10","₦ 365,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/192668/1.jpg?5025,HP246CL0CM8D8NAFAMZ,"<div class=""old"">₦ 480,000</div>"
"Lenovo Ideapad 5 15ITLO5:Intel Core I3-1115G4,256SSD/8GB,Fingerprint,Touch,Backlit","₦ 322,500",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/7407601/1.jpg?9974,LE842CL37CJBSNAFAMZ,"<div class=""old"">₦ 350,000</div>"
Hp Notebook 15 - AMD RYZEN™ - 2.6GHz - 3.5GHz -(8GB RAM 1TB HDD-WIN 10+ 32GB Flash,"₦ 205,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/2901701/1.jpg?7335,HP246CL2QEQPMNAFAMZ,"<div class=""old"">₦ 230,000</div>"
"Lenovo Ideapad  Intel Celeron 1TB 4GB RAM HDD 15.6"" Wins 10","₦ 168,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/562886/1.jpg?6504,LE842CL1GQ7K6NAFAMZ,
Hp Stream 11 Intel Celeron D/C  4GB RAM- 32GB HDD WIN 10+ BAG,"₦ 110,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/328107/1.jpg?6374,HP246CL01DWDNNAFAMZ,"<div class=""old"">₦ 170,000</div>"
"Hp Stream 11 Mini Intel Celeron Dual Core,11.6Inches,(32GB SSD,4GB RAM+32GB Flash,Mouse,USB Light For Keyboard) Windows 10","₦ 65,500",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/023333/1.jpg?2822,HP246EL0FHRQDNAFAMZ,
"Hp 15 Intel Core I3-2.0Ghz(1TB,4GB )Wins 10+32gb Flash Drive ","₦ 243,500","<div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/155772/1.jpg?9998,HP246EL0WU6GSNAFAMZ,"<div class=""old"">₦ 297,000</div>"
"DELL LATITUDE 7390 X360 INTEL CORE I5,256 GB,8GB,Backlit Keyboard","₦ 420,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/994739/1.jpg?7073,DE168CL016R5FNAFAMZ,"<div class=""old"">₦ 458,000</div>"
Hp 15 INTEL PENTIUM 1TB HDD 4GB RAM TOUCH SCREEN WINDOWS 10,"₦ 275,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/590563/1.jpg?8167,HP246EL0L6TURNAFAMZ,
Hp Notebook 14-10th Gen Intel® Core I5- 256 GB SSD 8GB RAM Windows 10 Backlit Keyboard + BAG,"₦ 345,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/7059501/1.jpg?4122,HP246CL1VP42MNAFAMZ,"<div class=""old"">₦ 390,000</div>"
Mini USB Live Sound Card Audio Mixer For Laptop Microphone Network,"₦ 9,009",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/466138/1.jpg?2351,GE779EA01GUVUNAFAMZ,"<div class=""old"">₦ 11,712</div>"
"Universal Multi-Function Oxford Cloth Laptop Computer Shoulders Bag Business Backpack Students Bag, Size: 43x29x11cm, For 15.6 Inch And Belowbook, Samsung, Lenovo, Sony, DELL Alienware, CHUWI, ASUS, HP(Black)","₦ 10,270",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/854057/1.jpg?9167,GE779EL0KR1K9NAFAMZ,"<div class=""old"">₦ 14,671</div>"
