,Draw No.,1st,2nd,2nd.1,2nd.2,City,Date,Full List
0,78,755144,199855,493016,616081,Faisalabad,03-06-2019,View
1,77,925437,160579,321143,713514,Lahore,01-03-2019,View
2,76,656277,66573,450097,636135,Quetta,03-12-2018,View
3,75,308812,151883,347924,831873,Multan,03-09-2018,View
4,74,680868,164758,250209,344250,Peshawar,01-06-2018,View
5,73,668593,170191,644203,833081,Lahore,28-02-2018,View
6,72,247043,13100,423671,972563,Faisalabad,04-12-2017,View
7,71,267089,148248,427682,518891,Hyderabad,05-09-2017,View
8,70,498138,68004,356104,795515,Rawalpindi,01-06-2017,View
9,69,35150,75972,702485,981551,Karachi,01-03-2017,View
10,68,162569,876,1442,252502,Peshawar,01-12-2016,View
11,67,656030,177469,249061,975738,Multan,01-09-2016,View
12,66,190460,218395,660391,679301,Lahore,01-06-2016,View
13,65,190031,255667,464598,856024,Quetta,01-03-2016,View
14,64,60692,330433,338995,751878,Rawalpindi,01-12-2015,View
15,63,510271,377645,823758,852357,Faisalabad,01-09-2015,View
16,62,826837,36187,115250,845578,Peshawar,01-06-2015,View
17,61,946051,289502,333165,345202,Muzaffarabad,02-03-2015,View
18,60,517642,457648,851834,865322,Karachi,01-12-2014,View
19,59,247243,306003,388819,957231,Hyderabad,01-09-2014,View
20,58,615846,48149,329853,733528,Faisalabad,02-06-2014,View
21,57,495678,73546,237908,565106,Peshawar,03-03-2014,View
22,56,188024,489986,631220,752792,Faisalabad,02-12-2013,View
23,55,370978,237379,279417,596645,Multan,02-09-2013,View
24,54,570,887883,967760,986817,Lahore,03-06-2013,View
25,53,58371,29457,623159,792481,Hyderabad,01-03-2013,View
26,52,57951,21863,631224,998514,Quetta,03-12-2012,View
27,51,268736,5272,412135,848148,Karachi,03-09-2012,View
28,50,590822,656215,681527,749151,Lahore,01-06-2012,View
29,49,571683,68044,971488,990378,Rawalpindi,01-03-2012,View
30,48,984518,224578,440718,609066,Peshawar,01-12-2011,View
31,47,371052,719640,854980,907964,Hyderabad,05-09-2011,View
32,46,418846,332718,621924,824253,Quetta,01-06-2011,View
33,45,484022,452974,591806,918425,Muzaffarabad,01-03-2011,View
34,44,864157,151766,273862,506000,Multan,01-12-2010,View
35,43,216626,311596,515586,814566,Lahore,01-09-2010,View
36,42,123552,58865,401208,659785,Rawalpindi,01-06-2010,View
37,41,489084,130145,210843,595282,Karachi,01-03-2010,View
38,40,99528,276771,568597,933753,Faisalabad,01-12-2009,View
39,39,305472,236725,676795,869657,Quetta,01-09-2009,View
40,38,797878,460879,797733,886956,Sialkot,01-06-2009,View
41,37,651086,543391,633208,793369,Lahore,02-03-2009,View
42,36,860502,194840,458954,952211,Sukkur,01-12-2008,View
43,35,695977,577520,788413,877509,Multan,01-09-2008,View
44,34,115557,527245,542974,900828,Hyderabad,02-06-2008,View
45,33,900774,355629,479596,920778,Rawalpindi,01-03-2008,View
46,32,422601,60297,394884,633069,Lahore,01-12-2007,View
47,31,869860,113652,562989,735247,Rawalpindi,01-09-2007,View
48,30,700780,129418,384566,510601,Karachi,01-06-2007,View
49,29,495417,19260,130736,551690,Peshawar,01-03-2007,View
50,28,155006,769827,887161,986630,Gujranwala,01-12-2006,View
51,27,865922,431580,764647,884898,Karachi,02-09-2006,View
52,26,279684,69873,569088,965949,Multan,01-06-2006,View
53,25,143421,364286,519754,938949,Faisalabad,01-03-2006,View
54,24,607963,22927,264374,872900,Lahore,01-12-2005,View
55,23,879479,22456,107158,296504,Islamabad,01-09-2005,View
56,22,606670,44270,450918,519175,Karachi,01-06-2005,View
57,21,705328,57885,223452,565503,Peshawar,01-03-2005,View
58,20,692795,237195,433484,831678,Lahore,01-12-2004,View
59,19,210706,152210,504483,843864,Islamabad,01-09-2004,View
60,18,530290,526369,543085,830299,Karachi,01-06-2004,View
61,17,628188,75098,390410,483240,Rawalpindi,03-03-2004,View
62,16,552176,105206,141207,299220,Karachi,01-12-2003,View
63,15,327378,63841,347386,614101,Peshawar,01-09-2003,View
64,14,443946,95502,123981,304407,Lahore,02-06-2003,View
65,13,323589,150104,186147,507739,Multan,01-03-2003,View
66,12,595531,504483,652310,688515,Lahore,02-12-2002,View
67,11,308266,17284,50074,59818,Islamabad,02-09-2002,View
68,10,759282,84374,91754,638271,Karachi,01-06-2002,View
69,9,101483,191433,191653,289305,Rawalpindi,01-03-2002,View
70,8,73183,313220,434520,508692,Karachi,01-12-2001,View
71,7,342822,675410,755576,923794,Peshawar,01-09-2001,View
72,6,390241,202082,702194,823337,Lahore,01-06-2001,View
73,5,203769,343799,352834,699381,Multan,01-03-2001,View
74,4,559700,11614,137257,606366,Faisalabad,01-12-2000,View
75,3,271731,58182,111554,325569,Rawalpindi,01-09-2000,View
76,2,614211,164924,702001,829391,Lahore,01-06-2000,View
77,1,196424,27968,282319,674305,Quetta,01-03-2000,View
