,Draw No.,1st,2nd,2nd.1,2nd.2,City,Date,Full List
0,90,928756,68381,673933,924554,Rawalpindi,16-05-2022,View
1,89,878598,243545,457662,509633,Muzaffarabad,15-02-2022,View
2,88,708623,121234,251386,788311,Faisalabad,15-11-2021,View
3,87,581729,91829,210953,759528,Multan,16-08-2021,View
4,86,602642,587960,925211,942100,Karachi,17-05-2021,View
5,85,414654,11149,39344,609775,Quetta,15-02-2021,View
6,84,458090,21076,389925,909271,Quetta,16-11-2020,View
7,83,76060,344671,354844,683780,Multan,17-08-2020,View
8,82,693022,736750,903700,934907,Muzaffarabad,15-05-2020,View
9,81,585821,37437,522658,656259,Rawalpindi,17-02-2020,View
10,80,980575,442481,745902,776936,Faisalabad,15-11-2019,View
11,79,438068,85468,519591,855920,Peshawar,16-08-2019,View
12,78,766214,452871,806977,862326,Multan,15-05-2019,View
13,77,51726,265147,266899,395935,Hyderabad,15-02-2019,View
14,76,60417,68264,466734,581852,Faisalabad,15-11-2018,View
15,75,822591,450182,507503,768603,Karachi,15-08-2018,View
16,74,15507,577579,601042,923327,Quetta,15-05-2018,View
17,73,635576,354086,617702,978482,Karachi,15-02-2018,View
18,72,180231,287457,755034,974057,Peshawar,15-11-2017,View
19,71,212238,30485,41720,762207,Multan,15-08-2017,View
20,70,417651,160416,227621,464325,Lahore,15-05-2017,View
21,69,631269,645333,745980,878989,Hyderabad,15-02-2017,View
22,68,720767,76434,154035,500948,Karachi,15-11-2016,View
23,67,348344,147641,359924,837037,Rawalpindi,15-08-2016,View
24,66,532148,413902,523304,912440,Multan,16-05-2016,View
25,65,748085,338227,701280,996309,Peshawar,15-02-2016,View
26,64,474026,521700,538648,807500,Quetta,16-11-2015,View
27,63,380897,328571,349641,460547,Karachi,17-08-2015,View
28,62,512421,367872,727729,735235,Multan,15-05-2015,View
29,61,749492,457346,692793,914362,Faisalabad,16-02-2015,View
30,60,423616,446659,865808,994771,Faisalabad,17-11-2014,View
31,59,950330,340316,510132,676221,Lahore,15-08-2014,View
32,58,930079,270397,579451,745877,Peshawar,15-05-2014,View
33,57,97759,276315,282461,435523,Multan,17-02-2014,View
34,56,638901,37468,198195,877732,Rawalpindi,18-11-2013,View
35,55,319356,242416,501494,900365,Peshawar,15-08-2013,View
36,54,683308,119906,566916,649983,Hyderabad,15-05-2013,View
37,53,818127,5904,902018,941425,Quetta,15-02-2013,View
38,52,880675,685887,783530,835984,Karachi,15-11-2012,View
39,51,256095,308640,490027,897870,Hyderabad,15-08-2012,View
40,50,639187,198401,368313,532536,Peshawar,15-05-2012,View
41,49,339904,139848,155164,898593,Multan,15-02-2012,View
42,48,945437,4802,335717,757747,Lahore,15-11-2011,View
43,47,799571,216848,462400,985433,Multan,15-08-2011,View
44,46,466063,107347,259274,695767,Peshawar,16-05-2011,View
45,45,428853,248550,597170,819082,Faisalabad,15-02-2011,View
46,44,397799,11632,148713,366629,Muzaffarabad,15-11-2010,View
47,43,782034,605491,605592,876813,Karachi,16-08-2010,View
48,42,462486,57257,305460,569277,Bahawalpur,17-05-2010,View
49,41,739342,235316,597928,897994,Rawalpindi,15-02-2010,View
50,40,879023,196450,455227,932738,Hyderabad,16-11-2009,View
51,39,419264,198769,356152,942735,Bahawalpur,15-08-2009,View
52,38,793319,80618,497956,881806,Muzaffarabad,15-05-2009,View
53,37,603131,37098,459246,489502,Quetta,16-02-2009,View
54,36,315791,628281,679641,964314,Multan,15-11-2008,View
55,35,351701,862,102806,429119,Sukkur,15-08-2008,View
56,34,151747,435193,666312,828485,Faisalabad,15-05-2008,View
57,33,365656,181792,693790,872244,Gujranwala,15-02-2008,View
58,32,982700,595349,652897,733488,Faisalabad,15-11-2007,View
59,31,348093,308546,671173,867760,Sialkot,15-08-2007,View
60,30,793392,200655,796206,796551,Bahawalpur,15-05-2007,View
61,29,946875,3761,218456,759642,Sukkur,15-02-2007,View
62,28,912108,58857,226591,494030,Sukkur,15-11-2006,View
63,27,70001,111301,179725,677725,Bahawalpur,15-08-2006,View
64,26,780515,94646,473240,821540,Hyderabad,15-05-2006,View
65,25,222468,249828,462891,708824,Rawalpindi,15-02-2006,View
66,24,345439,36581,182707,294416,Sialkot,15-11-2005,View
67,23,234846,508904,734712,967195,Rawalpindi,15-08-2005,View
68,22,227112,367989,399091,743508,Lahore,16-05-2005,View
69,21,757243,376004,521869,699472,Sukkur,15-02-2005,View
70,20,341747,341050,952463,952498,Karachi,18-11-2004,View
71,19,480781,71970,209507,362328,Quetta,16-08-2004,View
72,18,906624,511520,616923,814020,Sukkur,15-05-2004,View
73,17,868265,17969,704648,970876,Muzaffarabad,16-02-2004,View
74,16,388572,299169,641821,810257,Rawalpindi,15-11-2003,View
75,15,947873,305052,433992,584583,Sialkot,15-08-2003,View
76,14,898895,74647,367765,613652,Faisalabad,16-05-2003,View
77,13,452518,108182,768437,876343,Gujranwala,15-02-2003,View
78,12,738580,278580,558680,636017,Gujranwala,15-11-2002,View
79,11,217342,7174,72885,235502,Sukkur,15-08-2002,View
80,10,849951,124265,270254,441755,Quetta,15-05-2002,View
81,9,437382,114384,119911,159405,Muzaffarabad,15-02-2002,View
82,8,247068,398904,428854,589538,Faisalabad,15-11-2001,View
83,7,743776,116398,503419,681594,Karachi,15-08-2001,View
84,6,562584,401326,449636,633888,Rawalpindi,15-05-2001,View
85,5,636948,98287,128652,455420,Gujranwala,15-02-2001,View
86,4,49434,270157,450512,548872,Karachi,15-11-2000,View
87,3,139296,107591,241968,363758,Lahore,15-08-2000,View
88,2,688436,81244,201574,610321,Quetta,15-05-2000,View
89,1,443629,57943,226714,396242,Karachi,15-02-2000,View
