,Draw No.,1st,2nd,2nd.1,2nd.2,2nd.3,2nd.4,City,Date,Full List
0,6,415455857641,127995,464283,482643,484175,585235,Hyderabad,10-06-2022,View
1,5,96298193729,66227,284279,604401,696721,901103,Rawalpindi,10-03-2022,View
2,4,16253067408,38203,171265,551833,655804,916353,Quetta,10-12-2021,View
3,3,77928879917,17928,299043,366072,435276,924342,Hyderabad,10-09-2021,View
4,2,171790639589,100688,371201,860848,892614,924629,Faisalabad,10-06-2021,View
5,1,794905874214,333290,466253,787225,840925,851041,Multan,10-03-2021,View
