,Draw No.,1st,2nd,2nd.1,2nd.2,City,Date,Full List
0,38,93241,109857,297539,479884,Faisalabad,16-05-2022,View
1,37,904546,74566,259751,885455,Hyderabad,15-02-2022,View
2,36,406160,50000,422885,619067,Peshawar,15-11-2021,View
3,35,891043,212399,288254,660539,Faisalabad,16-08-2021,View
4,34,636604,221550,451785,506256,Multan,17-05-2021,View
5,33,124119,75899,104906,561989,Karachi,15-02-2021,View
6,32,466358,86187,248360,394957,Faisalabad,16-11-2020,View
7,31,203249,342734,663116,941637,Quetta,17-08-2020,View
8,30,694364,610514,666812,879657,Lahore,15-05-2020,View
9,29,487564,187448,688441,818952,Peshawar,17-02-2020,View
10,28,878602,273899,873447,879843,Karachi,15-11-2019,View
11,27,335729,7809,24977,89723,Hyderabad,16-08-2019,View
12,26,74326,126355,559490,806738,Quetta,15-05-2019,View
13,25,144844,15443,236547,466843,Faisalabad,15-02-2019,View
14,24,449000,21410,390120,517366,Multan,15-11-2018,View
15,23,281265,688323,793404,944454,Muzaffarabad,15-08-2018,View
16,22,227672,699360,742472,947283,Karachi,15-05-2018,View
17,21,786640,147056,374427,780469,Multan,15-02-2018,View
18,20,844250,227550,261619,473154,Hyderabad,15-11-2017,View
19,19,588349,302075,342248,606809,Karachi,15-08-2017,View
20,18,409526,268510,512155,992691,Quetta,15-05-2017,View
21,17,669572,212507,773831,869983,Muzaffarabad,15-02-2017,View
22,16,89577,254642,613887,900698,Rawalpindi,15-11-2016,View
23,15,921698,122017,405903,474833,Lahore,15-08-2016,View
24,14,920143,482847,877764,919143,Peshawar,16-05-2016,View
25,13,866825,373204,732343,967456,Faisalabad,15-02-2016,View
26,12,571448,31186,242006,538816,Karachi,16-11-2015,View
27,11,401787,203924,212810,837694,Multan,17-08-2015,View
28,10,419660,299416,355773,470399,Faisalabad,15-05-2015,View
29,9,446906,36427,704732,714507,Peshawar,16-02-2015,View
30,8,330770,182029,505403,807887,Quetta,17-11-2014,View
31,7,864256,68370,273289,701758,Multan,15-08-2014,View
32,6,37942,436449,475957,696570,Lahore,15-05-2014,View
33,5,287615,7634,70333,456622,Muzaffarabad,17-02-2014,View
34,4,361467,195749,249516,568326,Lahore,18-11-2013,View
35,3,411747,150360,322931,645502,Faisalabad,15-08-2013,View
36,2,651488,48066,630362,733236,Rawalpindi,15-05-2013,View
37,1,316342,523676,841768,995837,Karachi,15-02-2013,View
