,Prize Bond,Draw No.,1st,2nd,2nd.1,2nd.2,2nd.3,2nd.4,City,Date,Full List
72,Rs. 200,80,389955,162087,310074,517606,521670.0,806287.0,Peshawar,16-12-2019,View
73,Rs. 40000 Premium,11,315554,222386,508980,845315,,,Quetta,10-12-2019,View
74,Rs. 100,28,878602,273899,873447,879843,,,Karachi,15-11-2019,View
75,Rs. 1500,80,980575,442481,745902,776936,,,Faisalabad,15-11-2019,View
76,Rs. 7500,80,991051,151742,475376,697356,,,Lahore,01-11-2019,View
77,Rs. 25000,31,143553,22326,388281,405373,,,Multan,01-11-2019,View
78,Rs. 750,80,378562,296432,512602,813469,,,Rawalpindi,15-10-2019,View
79,Rs. 15000,80,392299,479714,687378,742432,,,Muzaffarabad,01-10-2019,View
80,Rs. 200,79,557235,395211,487811,701653,910697.0,970379.0,Lahore,16-09-2019,View
81,Rs. 40000 Premium,10,630918,187576,792533,982127,,,Muzaffarabad,11-09-2019,View
82,Rs. 100,27,335729,7809,24977,89723,,,Hyderabad,16-08-2019,View
83,Rs. 1500,79,438068,85468,519591,855920,,,Peshawar,16-08-2019,View
84,Rs. 7500,79,930315,22427,372362,939027,,,Quetta,01-08-2019,View
85,Rs. 25000,30,800524,623296,923188,991782,,,Rawalpindi,01-08-2019,View
86,Rs. 750,79,161158,204877,262276,619632,,,Karachi,15-07-2019,View
87,Rs. 15000,79,481556,100299,213499,531897,,,Faisalabad,02-07-2019,View
88,Rs. 200,78,539663,160370,531965,667595,825630.0,825917.0,Muzaffarabad,17-06-2019,View
89,Rs. 40000 Premium,9,262154,121907,376674,514119,,,Peshawar,10-06-2019,View
90,Rs. 40000,78,755144,199855,493016,616081,,,Faisalabad,03-06-2019,View
91,Rs. 1500,78,766214,452871,806977,862326,,,Multan,15-05-2019,View
92,Rs. 100,26,74326,126355,559490,806738,,,Quetta,15-05-2019,View
93,Rs. 7500,78,313603,116024,930589,938719,,,Hyderabad,02-05-2019,View
94,Rs. 25000,29,714078,183190,537634,663366,,,Karachi,02-05-2019,View
95,Rs. 750,78,682299,3875,663603,983623,,,Lahore,15-04-2019,View
96,Rs. 15000,78,106540,142418,314538,791391,,,Rawalpindi,01-04-2019,View
97,Rs. 200,77,419270,166457,415321,459275,888262.0,936874.0,Multan,15-03-2019,View
98,Rs. 40000 Premium,8,953497,218713,307083,891043,,,Rawalpindi,11-03-2019,View
99,Rs. 40000,77,925437,160579,321143,713514,,,Lahore,01-03-2019,View
100,Rs. 100,25,144844,15443,236547,466843,,,Faisalabad,15-02-2019,View
101,Rs. 1500,77,51726,265147,266899,395935,,,Hyderabad,15-02-2019,View
102,Rs. 25000,28,429168,167993,458710,785204,,,Quetta,01-02-2019,View
103,Rs. 7500,77,477399,457232,634726,921084,,,Muzaffarabad,01-02-2019,View
104,Rs. 750,77,479780,121611,223172,553151,,,Peshawar,15-01-2019,View
105,Rs. 15000,77,840873,196633,346945,365936,,,Karachi,02-01-2019,View
106,Rs. 200,76,817984,430351,520366,538174,570991.0,915757.0,Hyderabad,17-12-2018,View
107,Rs. 40000 Premium,7,550275,153744,695422,913633,,,Muzaffarabad,10-12-2018,View
108,Rs. 40000,76,656277,66573,450097,636135,,,Quetta,03-12-2018,View
109,Rs. 100,24,449000,21410,390120,517366,,,Multan,15-11-2018,View
110,Rs. 1500,76,60417,68264,466734,581852,,,Faisalabad,15-11-2018,View
111,Rs. 7500,76,594975,19084,270596,683074,,,Rawalpindi,01-11-2018,View
112,Rs. 25000,27,37514,75841,366531,919382,,,Karachi,01-11-2018,View
113,Rs. 750,76,963916,96651,678838,835627,,,Lahore,15-10-2018,View
114,Rs. 15000,76,545525,501290,546973,779078,,,Peshawar,01-10-2018,View
115,Rs. 200,75,589439,270554,328344,352099,495788.0,894784.0,Hyderabad,17-09-2018,View
116,Rs. 40000 Premium,6,888764,18472,739879,779423,,,Quetta,10-09-2018,View
117,Rs. 40000,75,308812,151883,347924,831873,,,Multan,03-09-2018,View
118,Rs. 100,23,281265,688323,793404,944454,,,Muzaffarabad,15-08-2018,View
119,Rs. 1500,75,822591,450182,507503,768603,,,Karachi,15-08-2018,View
120,Rs. 7500,75,878375,491836,536363,661127,,,Quetta,01-08-2018,View
121,Rs. 25000,26,658044,342317,865870,958157,,,Rawalpindi,01-08-2018,View
122,Rs. 750,75,374125,6662,554796,958183,,,Faisalabad,16-07-2018,View
123,Rs. 15000,75,550288,31693,204348,636774,,,Lahore,03-07-2018,View
124,Rs. 200,74,598752,7062,184113,187904,515181.0,861181.0,Muzaffarabad,19-06-2018,View
125,Rs. 40000 Premium,5,467508,86866,87033,427609,,,Rawalpindi,11-06-2018,View
126,Rs. 40000,74,680868,164758,250209,344250,,,Peshawar,01-06-2018,View
127,Rs. 100,22,227672,699360,742472,947283,,,Karachi,15-05-2018,View
128,Rs. 1500,74,15507,577579,601042,923327,,,Quetta,15-05-2018,View
129,Rs. 7500,74,286810,264426,405666,622258,,,Hyderabad,02-05-2018,View
130,Rs. 25000,25,811271,408684,507018,859416,,,Faisalabad,02-05-2018,View
131,Rs. 750,74,82423,180469,384302,611891,,,Rawalpindi,16-04-2018,View
132,Rs. 15000,74,264322,325798,339809,997942,,,Multan,02-04-2018,View
133,Rs. 200,73,629636,35474,172997,202532,425987.0,661011.0,Faisalabad,15-03-2018,View
134,Rs. 40000 Premium,4,434303,23961,519469,931526,,,Hyderabad,12-03-2018,View
135,Rs. 40000,73,668593,170191,644203,833081,,,Lahore,28-02-2018,View
136,Rs. 100,21,786640,147056,374427,780469,,,Multan,15-02-2018,View
137,Rs. 1500,73,635576,354086,617702,978482,,,Karachi,15-02-2018,View
138,Rs. 7500,73,4385,33988,211290,439491,,,Peshawar,01-02-2018,View
139,Rs. 25000,24,46812,581055,769672,775572,,,Quetta,01-02-2018,View
140,Rs. 750,73,156055,177661,786994,953433,,,Lahore,15-01-2018,View
141,Rs. 15000,73,389896,82867,296919,311272,,,Muzaffarabad,02-01-2018,View
142,Rs. 200,72,210469,194931,253137,736625,813704.0,945432.0,Lahore,15-12-2017,View
143,Rs. 40000 Premium,3,51122,543960,579951,604974,,,Karachi,11-12-2017,View
144,Rs. 40000,72,247043,13100,423671,972563,,,Faisalabad,04-12-2017,View
145,Rs. 1500,72,180231,287457,755034,974057,,,Peshawar,15-11-2017,View
146,Rs. 100,20,844250,227550,261619,473154,,,Hyderabad,15-11-2017,View
147,Rs. 7500,72,636053,645869,765349,803833,,,Quetta,01-11-2017,View
148,Rs. 25000,23,30166,93312,448540,948110,,,Karachi,01-11-2017,View
149,Rs. 750,72,960247,24343,323583,883704,,,Hyderabad,16-10-2017,View
150,Rs. 15000,72,945895,214313,821930,848054,,,Multan,02-10-2017,View
151,Rs. 200,71,359978,163029,290668,455132,558143.0,600284.0,Muzaffarabad,15-09-2017,View
152,Rs. 40000 Premium,2,96218,276032,794074,847494,,,Lahore,11-09-2017,View
153,Rs. 40000,71,267089,148248,427682,518891,,,Hyderabad,05-09-2017,View
154,Rs. 100,19,588349,302075,342248,606809,,,Karachi,15-08-2017,View
155,Rs. 1500,71,212238,30485,41720,762207,,,Multan,15-08-2017,View
156,Rs. 7500,71,321039,230438,260581,920583,,,Rawalpindi,01-08-2017,View
157,Rs. 25000,22,671711,289963,873389,972525,,,Peshawar,01-08-2017,View
158,Rs. 750,71,624455,590977,630169,838033,,,Lahore,17-07-2017,View
159,Rs. 15000,71,184483,401319,567986,679371,,,Muzaffarabad,04-07-2017,View
160,Rs. 200,70,732880,142513,320186,343783,634887.0,954354.0,Karachi,15-06-2017,View
161,Rs. 40000 Premium,1,570672,138786,343560,745872,,,Peshawar,12-06-2017,View
162,Rs. 40000,70,498138,68004,356104,795515,,,Rawalpindi,01-06-2017,View
163,Rs. 100,18,409526,268510,512155,992691,,,Quetta,15-05-2017,View
164,Rs. 1500,70,417651,160416,227621,464325,,,Lahore,15-05-2017,View
165,Rs. 7500,70,880015,56143,690585,961094,,,Faisalabad,02-05-2017,View
166,Rs. 25000,21,228192,380730,456407,577573,,,Multan,02-05-2017,View
167,Rs. 750,70,58047,130872,158358,623603,,,Peshawar,17-04-2017,View
168,Rs. 15000,70,791005,15856,372039,697492,,,Lahore,03-04-2017,View
169,Rs. 200,69,499831,117416,404794,419898,898975.0,947555.0,Rawalpindi,15-03-2017,View
170,Rs. 40000,69,35150,75972,702485,981551,,,Karachi,01-03-2017,View
171,Rs. 100,17,669572,212507,773831,869983,,,Muzaffarabad,15-02-2017,View
172,Rs. 1500,69,631269,645333,745980,878989,,,Hyderabad,15-02-2017,View
173,Rs. 7500,69,872005,96736,745547,961626,,,Peshawar,01-02-2017,View
174,Rs. 25000,20,179999,176979,319778,587015,,,Quetta,01-02-2017,View
175,Rs. 750,69,494769,117001,657258,902389,,,Faisalabad,16-01-2017,View
176,Rs. 15000,69,122017,257402,448844,768319,,,Rawalpindi,03-01-2017,View
177,Rs. 200,68,714160,156937,157762,299548,409501.0,950066.0,Multan,15-12-2016,View
178,Rs. 40000,68,162569,876,1442,252502,,,Peshawar,01-12-2016,View
179,Rs. 100,16,89577,254642,613887,900698,,,Rawalpindi,15-11-2016,View
180,Rs. 1500,68,720767,76434,154035,500948,,,Karachi,15-11-2016,View
181,Rs. 7500,68,27261,62476,66733,594797,,,Hyderabad,01-11-2016,View
182,Rs. 25000,19,631483,157424,206261,525107,,,Muzaffarabad,01-11-2016,View
183,Rs. 750,68,381865,588975,626365,643557,,,Quetta,17-10-2016,View
184,Rs. 15000,68,65699,203807,481443,487565,,,Faisalabad,03-10-2016,View
185,Rs. 200,67,385257,215213,264330,624771,879095.0,935025.0,Peshawar,15-09-2016,View
186,Rs. 40000,67,656030,177469,249061,975738,,,Multan,01-09-2016,View
187,Rs. 100,15,921698,122017,405903,474833,,,Lahore,15-08-2016,View
188,Rs. 1500,67,348344,147641,359924,837037,,,Rawalpindi,15-08-2016,View
189,Rs. 7500,67,936960,219682,825663,986862,,,Karachi,01-08-2016,View
190,Rs. 25000,18,21449,168427,855798,949022,,,Hyderabad,01-08-2016,View
191,Rs. 750,67,370297,32890,166996,757992,,,Muzaffarabad,18-07-2016,View
192,Rs. 15000,67,940031,22408,92424,560730,,,Quetta,04-07-2016,View
