,Draw No.,1st,2nd,2nd.1,2nd.2,City,Date,Full List
0,85,773753,164860,323713,812741,Lahore,01-02-2021,View
1,84,193853,195676,448508,639512,Karachi,02-11-2020,View
2,83,483112,415983,881814,931315,Faisalabad,03-08-2020,View
3,82,473331,759813,911300,959058,Peshawar,04-05-2020,View
4,81,744001,318970,572803,701602,Hyderabad,03-02-2020,View
5,80,991051,151742,475376,697356,Lahore,01-11-2019,View
6,79,930315,22427,372362,939027,Quetta,01-08-2019,View
7,78,313603,116024,930589,938719,Hyderabad,02-05-2019,View
8,77,477399,457232,634726,921084,Muzaffarabad,01-02-2019,View
9,76,594975,19084,270596,683074,Rawalpindi,01-11-2018,View
10,75,878375,491836,536363,661127,Quetta,01-08-2018,View
11,74,286810,264426,405666,622258,Hyderabad,02-05-2018,View
12,73,4385,33988,211290,439491,Peshawar,01-02-2018,View
13,72,636053,645869,765349,803833,Quetta,01-11-2017,View
14,71,321039,230438,260581,920583,Rawalpindi,01-08-2017,View
15,70,880015,56143,690585,961094,Faisalabad,02-05-2017,View
16,69,872005,96736,745547,961626,Peshawar,01-02-2017,View
17,68,27261,62476,66733,594797,Hyderabad,01-11-2016,View
18,67,936960,219682,825663,986862,Karachi,01-08-2016,View
19,66,363381,436560,455481,863988,Lahore,02-05-2016,View
20,65,775785,15376,596864,777679,Multan,01-02-2016,View
21,64,326731,64235,208651,641071,Lahore,02-11-2015,View
22,63,178967,26240,730517,753127,Rawalpindi,03-08-2015,View
23,62,544458,512352,548373,554503,Karachi,04-05-2015,View
24,61,676836,315869,481645,645462,Multan,02-02-2015,View
25,60,841853,76696,538729,906880,Rawalpindi,05-11-2014,View
26,59,701495,406335,810012,845674,Peshawar,04-08-2014,View
27,58,187100,262353,409671,453556,Hyderabad,02-05-2014,View
28,57,793672,662885,677218,811157,Faisalabad,03-02-2014,View
29,56,560022,108951,404745,951153,Multan,01-11-2013,View
30,55,395317,447374,564229,694916,Karachi,01-08-2013,View
31,54,243302,190599,267059,652149,Muzaffarabad,02-05-2013,View
32,53,923689,234129,491161,835020,Lahore,01-02-2013,View
33,52,340633,243319,461018,612465,Lahore,01-11-2012,View
34,51,935779,104536,196068,424548,Multan,01-08-2012,View
35,50,17222,286723,355012,438329,Faisalabad,02-05-2012,View
36,49,814328,66286,431310,949229,Muzaffarabad,01-02-2012,View
37,48,47197,579044,585397,989358,Muzaffarabad,01-11-2011,View
38,47,675037,29104,101033,785818,Karachi,01-08-2011,View
39,46,130612,221459,433838,889153,Hyderabad,02-05-2011,View
40,45,171759,51430,165502,482680,Rawalpindi,01-02-2011,View
41,44,319715,290603,600408,838810,Lahore,01-11-2010,View
42,43,303508,55085,220147,885285,Faisalabad,02-08-2010,View
43,42,858251,33926,510749,625688,Quetta,03-05-2010,View
44,41,399077,599834,721296,910141,Peshawar,01-02-2010,View
45,40,865222,172363,220975,564642,Islamabad,02-11-2009,View
46,39,487306,11297,553222,880206,Sukkur,01-08-2009,View
47,38,507214,286969,825217,990721,Multan,02-05-2009,View
48,37,328122,628468,739122,890233,Bahawalpur,02-02-2009,View
49,36,161112,89552,185617,917048,Lahore,01-11-2008,View
50,35,396921,15539,147842,554235,Rawalpindi,01-08-2008,View
51,34,106948,74460,481121,624686,Karachi,02-05-2008,View
52,33,975299,204509,364500,861410,Peshawar,01-02-2008,View
53,32,98471,157241,210300,505138,Sukkur,01-11-2007,View
54,31,433581,313233,317404,832105,Bahawalpur,01-08-2007,View
55,30,662636,3739,542581,995130,Hyderabad,02-05-2007,View
56,29,547345,664990,665999,993820,Rawalpindi,01-02-2007,View
57,28,412928,26685,265712,812194,Faisalabad,01-11-2006,View
58,27,557663,120252,143056,889193,Sialkot,01-08-2006,View
59,26,703683,136687,233277,445844,Bahawalpur,02-05-2006,View
60,25,654529,233115,567738,729266,Sukkur,02-02-2006,View
61,24,894396,172913,612974,727401,Karachi,02-11-2005,View
62,23,530753,695586,904490,943905,Peshawar,01-08-2005,View
63,22,856566,148943,635754,760695,Islamabad,02-05-2005,View
64,21,156070,308628,429424,673770,Muzaffarabad,01-02-2005,View
65,20,1134,163171,259549,540768,Rawalpindi,01-11-2004,View
66,19,902933,160455,474322,529768,Sialkot,02-08-2004,View
67,18,318499,420532,659801,730636,Faisalabad,04-05-2004,View
68,17,863002,54988,615653,738329,Quetta,06-02-2004,View
69,16,339865,90652,681304,842130,Gujranwala,01-11-2003,View
70,15,579684,28553,198009,539634,Sukkur,01-08-2003,View
71,14,85062,282090,414361,541741,Quetta,02-05-2003,View
72,13,233976,125577,128358,131476,Muzaffarabad,01-02-2003,View
73,12,319716,493,280865,375356,Sialkot,01-11-2002,View
74,11,424792,20508,264089,455777,Rawalpindi,01-08-2002,View
75,10,973861,420700,539183,545832,Faisalabad,02-05-2002,View
76,9,871640,116164,322162,490631,Gujranwala,01-02-2002,View
77,8,818422,148752,349608,757365,Multan,01-11-2001,View
78,7,249442,72354,210497,617479,Quetta,01-08-2001,View
79,6,725928,78663,392826,537061,Peshawar,02-05-2001,View
80,5,763297,295580,296134,642792,Lahore,01-02-2001,View
81,4,952701,10482,250334,475842,Multan,01-11-2000,View
82,3,210343,133218,192960,644096,Peshawar,01-08-2000,View
83,2,902042,183321,277480,454154,Karachi,01-05-2000,View
84,1,261305,80203,157989,417022,Lahore,01-02-2000,View
