,Draw No.,1st,2nd,2nd.1,2nd.2,City,Date,Full List
0,35,185473,404002,651544,857590,Peshawar,02-11-2020,View
1,34,548532,288875,715500,906247,Lahore,03-08-2020,View
2,33,629095,255674,473918,521142,Rawalpindi,04-05-2020,View
3,32,756356,164617,322938,560785,Faisalabad,03-02-2020,View
4,31,143553,22326,388281,405373,Multan,01-11-2019,View
5,30,800524,623296,923188,991782,Rawalpindi,01-08-2019,View
6,29,714078,183190,537634,663366,Karachi,02-05-2019,View
7,28,429168,167993,458710,785204,Quetta,01-02-2019,View
8,27,37514,75841,366531,919382,Karachi,01-11-2018,View
9,26,658044,342317,865870,958157,Rawalpindi,01-08-2018,View
10,25,811271,408684,507018,859416,Faisalabad,02-05-2018,View
11,24,46812,581055,769672,775572,Quetta,01-02-2018,View
12,23,30166,93312,448540,948110,Karachi,01-11-2017,View
13,22,671711,289963,873389,972525,Peshawar,01-08-2017,View
14,21,228192,380730,456407,577573,Multan,02-05-2017,View
15,20,179999,176979,319778,587015,Quetta,01-02-2017,View
16,19,631483,157424,206261,525107,Muzaffarabad,01-11-2016,View
17,18,21449,168427,855798,949022,Hyderabad,01-08-2016,View
18,17,485400,39885,157468,408116,Rawalpindi,02-05-2016,View
19,16,755928,737699,845673,984323,Lahore,01-02-2016,View
20,15,185716,76022,88008,325312,Multan,02-11-2015,View
21,14,953805,5653,226193,296951,Lahore,03-08-2015,View
22,13,273592,100797,102908,350706,Islamabad,04-05-2015,View
23,12,727435,239929,582820,904720,Karachi,02-02-2015,View
24,11,423620,302241,303508,589358,Hyderabad,05-11-2014,View
25,10,594936,35260,416910,518336,Karachi,04-08-2014,View
26,9,955812,101089,660622,933600,Muzaffarabad,02-05-2014,View
27,8,710524,396251,678355,816282,Lahore,03-02-2014,View
28,7,218850,398464,506718,959586,Muzaffarabad,01-11-2013,View
29,6,4092,326216,349683,396576,Multan,01-08-2013,View
30,5,442680,322519,328177,679002,Karachi,02-05-2013,View
31,4,703071,74319,824034,846679,Faisalabad,01-02-2013,View
32,3,53047,330492,343421,830796,Hyderabad,01-11-2012,View
33,2,751620,76734,432344,919834,Lahore,01-08-2012,View
34,1,573744,460507,775760,843529,Rawalpindi,02-05-2012,View
