,Draw No.,1st,2nd,2nd.1,2nd.2,City,Date,Full List
69,22,199338,288233,543806,836940,Faisalabad,15-04-2005,View
70,21,266315,147474,554020,579962,Islamabad,15-01-2005,View
71,20,278995,63572,279703,800636,Bahawalpur,15-10-2004,View
72,19,849614,348514,611986,742214,Lahore,15-07-2004,View
73,18,437687,265659,543274,758006,Multan,15-04-2004,View
74,17,647006,467876,571871,700230,Hyderabad,15-01-2004,View
75,16,867220,577084,673464,870074,Quetta,15-10-2003,View
76,15,70763,76767,124174,141175,Karachi,15-07-2003,View
77,14,849918,7621,211036,251036,Islamabad,15-04-2003,View
78,13,406685,172128,176588,343231,Peshawar,15-01-2003,View
79,12,195989,618612,753979,826024,Lahore,15-10-2002,View
80,11,227713,717713,720841,757843,Multan,15-07-2002,View
81,10,256287,290566,443286,533336,Bahawalpur,15-04-2002,View
82,9,594970,172647,178159,178931,Hyderabad,15-01-2002,View
83,8,740883,32401,117883,421075,Gujranwala,15-10-2001,View
84,7,410853,281299,281925,668153,Sukkur,16-07-2001,View
85,6,786880,208018,332281,429055,Quetta,16-04-2001,View
86,5,677216,195498,404323,677256,Muzaffarabad,15-01-2001,View
87,4,548378,301073,472750,578505,Lahore,16-10-2000,View
88,3,941694,248225,267064,609209,Hyderabad,15-07-2000,View
89,2,752300,38121,338558,367788,Peshawar,17-04-2000,View
90,1,367030,211403,527674,676693,Islamabad,15-01-2000,View
