,Draw No.,1st,2nd,2nd.1,2nd.2,City,Date,Full List
0,91,722561,321896,828159,873486,Lahore,15-07-2022,View
1,90,394635,207865,529894,829039,Karachi,15-04-2022,View
2,89,4208,511294,549996,983274,Peshawar,17-01-2022,View
3,88,69845,172166,321134,828622,Rawalpindi,15-10-2021,View
4,87,331809,232705,842723,908062,Lahore,15-07-2021,View
5,86,38012,831,314705,417508,Quetta,15-04-2021,View
6,85,217739,194668,871860,953604,Hyderabad,15-01-2021,View
7,84,854741,44848,168263,728072,Lahore,15-10-2020,View
8,83,308857,394067,603610,930253,Muzaffarabad,15-07-2020,View
9,82,253534,48813,266370,662748,Hyderabad,15-04-2020,View
10,81,958892,515888,558129,943879,Karachi,15-01-2020,View
11,80,378562,296432,512602,813469,Rawalpindi,15-10-2019,View
12,79,161158,204877,262276,619632,Karachi,15-07-2019,View
13,78,682299,3875,663603,983623,Lahore,15-04-2019,View
14,77,479780,121611,223172,553151,Peshawar,15-01-2019,View
15,76,963916,96651,678838,835627,Lahore,15-10-2018,View
16,75,374125,6662,554796,958183,Faisalabad,16-07-2018,View
17,74,82423,180469,384302,611891,Rawalpindi,16-04-2018,View
18,73,156055,177661,786994,953433,Lahore,15-01-2018,View
19,72,960247,24343,323583,883704,Hyderabad,16-10-2017,View
20,71,624455,590977,630169,838033,Lahore,17-07-2017,View
21,70,58047,130872,158358,623603,Peshawar,17-04-2017,View
22,69,494769,117001,657258,902389,Faisalabad,16-01-2017,View
23,68,381865,588975,626365,643557,Quetta,17-10-2016,View
24,67,370297,32890,166996,757992,Muzaffarabad,18-07-2016,View
25,66,326499,140244,295557,945590,Karachi,15-04-2016,View
26,65,805734,657119,796232,916826,Rawalpindi,15-01-2016,View
27,64,982732,27902,550367,838001,Hyderabad,15-10-2015,View
28,63,760833,274397,754236,910787,Quetta,15-07-2015,View
29,62,911372,294285,417878,758637,Lahore,15-04-2015,View
30,61,163360,547025,835893,948710,Rawalpindi,15-01-2015,View
31,60,409087,153627,695616,987816,Peshawar,15-10-2014,View
32,59,795153,107586,227008,796010,Muzaffarabad,15-07-2014,View
33,58,852954,155479,424358,829364,Karachi,15-04-2014,View
34,57,705840,439991,539415,759412,Rawalpindi,15-01-2014,View
35,56,623756,216582,742338,797836,Karachi,21-10-2013,View
36,55,157831,342353,712325,841308,Rawalpindi,15-07-2013,View
37,54,126541,187189,369088,528635,Multan,15-04-2013,View
38,53,714654,86708,586854,862565,Peshawar,15-01-2013,View
39,52,917655,146328,147071,424796,Faisalabad,15-10-2012,View
40,51,419572,187426,190480,728060,Rawalpindi,16-07-2012,View
41,50,136114,564275,717074,955696,Karachi,16-04-2012,View
42,49,497831,132287,240705,727121,Hyderabad,16-01-2012,View
43,48,91805,104437,222097,971078,Rawalpindi,17-10-2011,View
44,47,631507,18906,118503,498478,Faisalabad,15-07-2011,View
45,46,359875,30207,154907,564781,Lahore,15-04-2011,View
46,45,814544,100930,106130,578023,Quetta,15-01-2011,View
47,44,63600,674133,728217,800841,Karachi,15-10-2010,View
48,43,453884,39619,537300,578549,Quetta,15-07-2010,View
49,42,236824,170344,657678,895430,Multan,15-04-2010,View
50,41,733918,568369,676157,862789,Bahawalpur,15-01-2010,View
51,40,414564,39355,247996,622700,Karachi,15-10-2009,View
52,39,103583,355235,578460,878270,Peshawar,15-07-2009,View
53,38,972785,172765,491417,806452,Faisalabad,15-04-2009,View
54,37,249717,221016,657531,899194,Gujranwala,15-01-2009,View
55,36,361846,107225,299109,461906,Hyderabad,15-10-2008,View
56,35,890862,228284,747388,890826,Bahawalpur,15-07-2008,View
57,34,526400,259084,458975,941542,Muzaffarabad,15-04-2008,View
58,33,4596,21100,752073,788284,Quetta,15-01-2008,View
59,32,827184,184300,541249,991249,Islamabad,17-10-2007,View
60,31,248453,89686,673738,910337,Karachi,16-07-2007,View
61,30,278416,329447,549604,739416,Peshawar,16-04-2007,View
62,29,829275,227759,447759,842059,Lahore,15-01-2007,View
63,28,100754,64496,370711,555496,Multan,16-10-2006,View
64,27,598906,62192,598996,599866,Hyderabad,15-07-2006,View
65,26,503970,158323,168721,823476,Muzaffarabad,15-04-2006,View
66,25,486101,202058,480801,939236,Quetta,15-01-2006,View
67,24,655937,254038,255838,778454,Quetta,15-10-2005,View
68,23,966519,168700,185006,756162,Bahawalpur,15-07-2005,View
